"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
10 1.233471342672538
20 1.42760875933117
30 1.378872069855057
40 1.581745387985205
50 1.710251445039394
60 1.781754322292293
70 1.817416076948405
80 1.834281113095525
90 1.84152442287387
100 1.844367273875862
110 1.845267773762197
120 1.845423441367232
130 1.845441162492114
140 1.845368141785804
150 1.845305493714116
160 1.845237743353436
170 1.84519405729426
180 1.845164153164829
190 1.845151403228902
200 1.845144802007437
210 1.845141709625269
220 1.845141487817775
230 1.845141480388561
240 1.845141851083632
250 1.845142315455527
